,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229011,0.166543,0.24156,0.237428,0.240619,0.210492,0.168513,0.122791,0.163877,32,2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119189,0.046403,0.100322,0.048503,0.112577,0.058754,0.098289,0.041313,0.090228,33,2
18,0.0,0.0,0.0,0.0,0.0,0.032871,0.0,0.0,0.0,0.099122,0.063629,0.095279,0.014331,0.027535,0.0,0.108917,0.063906,0.064375,34,2
19,0.013837,0.043437,0.010965,0.059046,0.0,0.070503,0.010604,0.04349,0.013204,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,35,2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061039,0.046638,0.086623,0.056597,0.069714,0.030561,0.080602,0.07247,0.08441,36,2
21,0.0,0.088797,0.00457,0.063262,0.0,0.124017,0.0,0.073303,0.022194,0.040471,0.0,0.0,0.0,0.063017,0.0,0.074169,0.0,0.0,37,2
22,0.0,0.178051,0.083421,0.152453,0.0,0.179772,0.035245,0.165543,0.087925,0.012135,0.0,0.0,0.0,0.053001,0.0,0.0,0.0,0.0,38,2
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2
0,0.0,0.024305,0.0,0.010372,0.0,0.016078,0.0,0.019498,0.0,0.052934,0.0,0.02499,0.0,0.044867,0.0,0.041317,0.0,0.021834,16,3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273265,0.187267,0.221401,0.228064,0.293027,0.194966,0.232589,0.187393,0.245194,17,3
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425249,0.35536,0.3819,0.439954,0.457628,0.365394,0.456565,0.393606,0.370081,18,3
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506347,0.521226,0.533941,0.511896,0.546786,0.497983,0.572858,0.400152,0.515763,19,3
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611837,0.551641,0.562615,0.432498,0.570214,0.446797,0.60112,0.575719,0.624071,20,3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281818,0.227239,0.239715,0.231505,0.351734,0.32477,0.352678,0.082565,0.218266,21,3
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45883,0.431609,0.499396,0.446934,0.479878,0.348418,0.437221,0.435557,0.475545,22,3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2144,0.222327,0.244117,0.214057,0.221085,0.162603,0.23378,0.215201,0.232773,23,3
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120299,0.133268,0.147121,0.128847,0.113814,0.100093,0.122533,0.13748,0.130643,24,3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058934,0.062587,0.058887,0.075138,0.046418,0.030019,0.05324,0.068769,0.070789,25,3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033532,0.045872,0.050408,0.055732,0.037525,0.032101,0.040258,0.062784,0.052568,26,3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051379,0.040815,0.04053,0.046887,0.036166,0.028379,0.036354,0.06126,0.036969,27,3
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073656,0.106625,0.086621,0.119453,0.071139,0.281043,0.085985,0.131797,0.122471,28,3
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262409,0.329309,0.286162,0.362237,0.283747,0.354165,0.320204,0.453676,0.291919,29,3
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156448,0.234331,0.20767,0.187255,0.155429,0.209884,0.161759,0.220964,0.200647,30,3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122446,0.230523,0.185332,0.228998,0.196412,0.213027,0.203338,0.214815,0.178869,31,3
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194701,0.161677,0.149845,0.19099,0.157603,0.157096,0.121888,0.120096,0.121831,32,3
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072999,0.04856,0.075614,0.046201,0.07092,0.036952,0.076588,0.04627,0.083292,33,3
18,0.0,0.087814,0.017832,0.06192,0.0,0.097873,0.0,0.088427,0.022306,0.00207,0.0,0.0,0.0,0.001087,0.0,0.004027,0.0,0.0,34,3
19,0.0,0.0,0.0,0.003865,0.0,0.016924,0.0,0.0,0.0,0.05183,0.022948,0.034974,0.0,0.044998,0.0,0.037487,0.009871,0.022952,35,3
20,0.037322,0.132512,0.077715,0.145569,0.043968,0.158265,0.043048,0.129294,0.083838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3
21,0.0,0.001748,0.0,4.3e-05,0.0,0.057293,0.0,0.0,0.0,0.229944,0.0,0.171972,0.0,0.253266,0.0,0.242783,0.011673,0.156719,37,3
22,0.0,0.04089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032933,0.0,0.061837,0.003298,0.104197,0.014273,0.087198,0.000483,0.078428,38,3
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,3
0,0.0,0.046193,0.0,0.008784,0.0,0.011269,0.0,0.016959,0.0,0.056788,0.0,0.02499,0.0,0.024395,0.0,0.041317,0.0,0.024162,16,4
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29146,0.140699,0.243692,0.241693,0.240149,0.205945,0.241182,0.166745,0.251061,17,4
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384314,0.255464,0.287372,0.369547,0.393469,0.257459,0.357732,0.355511,0.26023,18,4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205146,0.143919,0.162346,0.206485,0.224001,0.145267,0.24097,0.036228,0.133537,19,4
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554885,0.45554,0.464114,0.416624,0.491194,0.457644,0.571471,0.430545,0.493904,20,4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514127,0.454797,0.473411,0.463991,0.518648,0.55735,0.585305,0.313641,0.449986,21,4
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50792,0.438161,0.494689,0.431625,0.483346,0.414,0.511704,0.392024,0.402574,22,4
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222392,0.198908,0.28101,0.231476,0.226035,0.228915,0.256603,0.226244,0.278433,23,4
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152037,0.140899,0.18232,0.173812,0.135245,0.122506,0.145044,0.163092,0.15697,24,4
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069288,0.09494,0.091348,0.096258,0.090709,0.052204,0.079215,0.084617,0.105578,25,4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049191,0.109829,0.081145,0.076909,0.087383,0.098081,0.062726,0.09833,0.073632,26,4
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046683,0.125453,0.076062,0.077504,0.112464,0.069812,0.051205,0.060811,0.11531,27,4
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096592,0.205246,0.130706,0.140928,0.134401,0.131682,0.094694,0.333701,0.137932,28,4
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278204,0.299324,0.343158,0.367154,0.303723,0.372789,0.301126,0.48326,0.333607,29,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168168,0.325263,0.236904,0.205253,0.222341,0.239075,0.192417,0.226935,0.235575,30,4
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143252,0.261041,0.247618,0.224288,0.22709,0.225609,0.214376,0.218489,0.414436,31,4
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199216,0.175599,0.180573,0.182715,0.171783,0.159918,0.1692,0.117685,0.137404,32,4
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090828,0.059828,0.077977,0.042811,0.109541,0.040626,0.084716,0.04627,0.084461,33,4
18,0.0,0.027816,0.0,0.021562,0.0,0.097873,0.0,0.017962,0.013919,0.023158,0.0,0.000934,0.0,0.045245,0.0,0.016447,0.0,0.0,34,4
19,0.0,0.029798,0.0,0.055684,0.007544,0.07351,0.0,0.033095,0.001594,0.004659,0.0,0.029053,0.0,0.0,0.0,0.006351,0.0,0.0,35,4
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199697,0.11432,0.127046,0.065982,0.131112,0.008158,0.138765,0.10824,0.142906,36,4
