Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1078,9400.0,35,581.0,2,2,4,2,4,2,20.189871311187744
FCFS,1079,10100.0,35,735.0,3,2,5,1,4,3,47.98483085632324
FCFS,1080,10900.0,35,628.0,2,2,4,3,4,2,22.831401586532593
FCFS,1081,11400.0,35,674.0,3,1,5,4,4,2,23.884527444839478
FCFS,1082,9900.0,35,593.0,2,1,4,3,4,2,20.526267766952515
FCFS,1083,9900.0,35,629.0,2,1,4,3,4,2,16.446964740753174
FCFS,1084,10400.0,35,676.0,3,3,5,2,4,2,14.988543272018433
FCFS,1085,10900.0,35,594.0,2,2,4,3,4,2,12.390949487686157
FCFS,1086,9400.0,35,585.0,2,2,4,2,4,2,56.16880011558533
FCFS,1087,10900.0,35,702.0,3,2,5,3,4,2,49.13615393638611
FCFS,1088,10100.0,35,621.0,2,2,4,1,4,3,13.776225090026855
FCFS,1089,13100.0,35,705.0,3,2,5,3,4,3,13.306423902511597
FCFS,1090,9400.0,35,637.0,2,2,4,2,4,2,19.74639368057251
FCFS,1091,14600.0,35,735.0,3,2,5,4,4,3,7.834582567214966
FCFS,1092,10400.0,35,713.0,3,3,5,2,4,2,14.765987396240234
FCFS,1093,8900.0,35,608.0,2,0,4,3,4,2,11.351421356201172
FCFS,1094,8100.0,35,585.0,2,0,4,1,4,3,150.45640182495117
FCFS,1095,8100.0,35,640.0,2,0,4,1,4,3,55.013922691345215
FCFS,1096,8400.0,35,538.0,2,1,4,2,3,2,97.65002584457397
FCFS,1097,13100.0,35,613.0,2,2,4,3,4,3,5.520472049713135
FCFS,1098,10900.0,35,656.0,2,2,4,3,4,2,12.659332752227783
FCFS,1099,9900.0,35,635.0,2,1,4,3,4,2,35.7903938293457
FCFS,1100,8400.0,35,584.0,2,1,4,2,4,2,60.31748080253601
FCFS,1101,12100.0,35,598.0,2,1,4,3,4,3,7.33081579208374
FCFS,1102,9100.0,35,642.0,2,1,4,1,4,3,30.66955041885376
FCFS,1103,10400.0,35,638.0,2,0,4,4,4,2,17.29109501838684
FCFS,1104,9900.0,35,719.0,3,1,5,3,4,2,26.834206104278564
FCFS,1105,9900.0,35,582.0,2,1,4,3,4,2,19.465158224105835
FCFS,1106,10400.0,35,614.0,2,0,4,4,4,2,66.94701814651489
FCFS,1107,9200.0,35,629.0,2,1,4,4,4,1,100.68160557746887
FCFS,1108,9100.0,35,675.0,3,1,5,1,4,3,98.157062292099
