Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
FCFS,9,10,10,11.0,18.0,Small,16,69.426,16,8,0
FCFS,10,10,1,7.0,18.0,Sedan,24,13.633,6.0,8,0
FCFS,10,10,2,7.0,20.0,Sedan,24,53.318,23.0,19,0
FCFS,10,10,3,7.0,18.0,Small,16,25.219,10.0,19,0
FCFS,10,10,4,7.0,22.0,Small,16,39.811,15.0,8,0
FCFS,10,10,5,8.0,22.0,Truck,70,44.668,37.0,19,0
FCFS,10,10,6,9.0,18.0,Small,16,41.294,16.0,8,0
FCFS,10,10,7,9.0,17.0,Small,16,52.374,16,19,0
FCFS,10,10,8,10.0,21.0,Small,16,56.104,16,8,0
FCFS,10,10,9,11.0,18.0,Sedan,24,35.603,15.0,19,0
FCFS,10,10,10,11.0,18.0,Sedan,24,49.186,21.0,19,0
FCFS,11,10,1,6.0,19.0,SUV,54,29.371,17.0,19,0
FCFS,11,10,2,6.0,21.0,Small,16,50.437,16,8,0
FCFS,11,10,3,7.0,23.0,SUV,54,38.186,22.0,8,0
FCFS,11,10,4,7.0,19.0,SUV,54,33.618,19.0,19,0
FCFS,11,10,5,8.0,18.0,SUV,54,69.321,40.0,19,0
FCFS,11,10,6,8.0,21.0,Sedan,24,67.802,24,19,0
FCFS,11,10,7,8.0,23.0,Small,16,68.068,16,8,0
FCFS,11,10,8,8.0,21.0,Small,16,54.127,16,8,0
FCFS,11,10,9,9.0,17.0,Sedan,24,61.085,24,19,0
FCFS,11,10,10,10.0,23.0,Small,16,51.678,16,8,0
FCFS,12,10,1,2.0,20.0,Small,16,29.817,11.0,4,0
FCFS,12,10,2,5.0,20.0,Small,16,61.952,16,8,0
FCFS,12,10,3,6.0,17.0,Small,16,23.402,9.0,4,0
FCFS,12,10,4,6.0,17.0,Small,16,33.529,13.0,8,0
FCFS,12,10,5,7.0,18.0,Small,16,51.713,16,8,0
FCFS,12,10,6,8.0,21.0,Small,16,45.1,16,8,0
FCFS,12,10,7,9.0,21.0,Sedan,24,16.031,7.0,8,0
FCFS,12,10,8,9.0,19.0,Small,16,37.965,14.0,4,0
FCFS,12,10,9,9.0,19.0,Small,16,65.746,16,8,0
FCFS,12,10,10,12.0,20.0,Small,16,40.215,15.0,8,0
FCFS,13,10,1,6.0,23.0,Truck,70,21.561,18.0,8,0
FCFS,13,10,2,7.0,19.0,Small,16,45.604,16,8,0
FCFS,13,10,3,8.0,18.0,SUV,54,39.819,23.0,8,0
FCFS,13,10,4,8.0,19.0,Small,16,45.555,16,8,0
FCFS,13,10,5,10.0,20.0,SUV,54,36.875,21.0,19,0
FCFS,13,10,6,10.0,18.0,Small,16,38.747,15.0,8,0
FCFS,13,10,7,11.0,24.0,SUV,54,40.135,23.0,8,0
FCFS,13,10,8,11.0,21.0,Truck,70,21.72,18.0,19,0
FCFS,13,10,9,11.0,19.0,Sedan,24,27.5,12.0,8,0
FCFS,13,10,10,11.0,16.0,Truck,70,64.666,53.0,19,0
FCFS,14,10,1,4.0,22.0,Small,16,49.722,16,4,0
FCFS,14,10,2,7.0,18.0,Sedan,24,24.254,10.0,19,0
FCFS,14,10,3,7.0,20.0,Small,16,45.004,16,19,0
FCFS,14,10,4,9.0,18.0,SUV,54,38.244,22.0,19,0
FCFS,14,10,5,9.0,22.0,Truck,70,38.786,32.0,19,0
FCFS,14,10,6,9.0,22.0,Small,16,18.054,7.0,4,0
FCFS,14,10,7,9.0,16.0,SUV,54,53.464,31.0,19,0
FCFS,14,10,8,11.0,20.0,Sedan,24,29.141,12.0,19,0
FCFS,14,10,9,11.0,23.0,Sedan,24,78.946,24,19,0
FCFS,14,10,10,13.0,21.0,Sedan,24,34.985,15.0,19,0
FCFS,15,10,1,5.0,18.0,Truck,70,11.117,9.0,8,0
FCFS,15,10,2,7.0,20.0,Small,16,49.996,16,8,0
FCFS,15,10,3,7.0,19.0,Small,16,50.091,16,8,0
FCFS,15,10,4,7.0,17.0,Small,16,47.492,16,8,0
FCFS,15,10,5,8.0,20.0,SUV,54,12.327,7.0,8,0
FCFS,15,10,6,8.0,22.0,Small,16,38.854,15.0,8,0
FCFS,15,10,7,8.0,21.0,Small,16,52.821,16,8,0
FCFS,15,10,8,9.0,23.0,Sedan,24,61.68,24,8,0
FCFS,15,10,9,10.0,17.0,SUV,54,10.827,6.0,8,0
FCFS,15,10,10,10.0,19.0,Sedan,24,57.748,24,8,0
FCFS,16,10,1,3.0,20.0,Sedan,24,37.298,16.0,19,0
FCFS,16,10,2,6.0,24.0,Sedan,24,6.532,3.0,19,0
FCFS,16,10,3,6.0,22.0,Truck,70,20.97,17.0,19,0
FCFS,16,10,4,7.0,21.0,SUV,54,8.827,5.0,19,0
FCFS,16,10,5,7.0,18.0,Truck,70,30.753,25.0,19,0
FCFS,16,10,6,7.0,19.0,Small,16,39.824,15.0,19,0
FCFS,16,10,7,9.0,21.0,Sedan,24,68.099,24,19,0
FCFS,16,10,8,9.0,21.0,Small,16,72.263,16,19,0
FCFS,16,10,9,10.0,20.0,SUV,54,66.949,38.0,19,0
FCFS,16,10,10,10.0,23.0,Small,16,25.063,9.0,19,0
FCFS,17,10,1,6.0,22.0,Small,16,73.644,16,8,0
FCFS,17,10,2,6.0,19.0,Small,16,46.648,16,8,0
FCFS,17,10,3,7.0,20.0,Small,16,54.333,16,8,0
FCFS,17,10,4,8.0,20.0,Sedan,24,12.273,5.0,8,0
FCFS,17,10,5,8.0,18.0,Small,16,42.831,16,8,0
FCFS,17,10,6,9.0,18.0,SUV,54,51.18,29.0,8,0
FCFS,17,10,7,9.0,18.0,Small,16,44.292,16,8,0
FCFS,17,10,8,10.0,20.0,Sedan,24,48.969,21.0,8,0
FCFS,17,10,9,10.0,18.0,Small,16,50.301,16,8,0
FCFS,17,10,10,11.0,22.0,Truck,70,14.899,12.0,8,0
FCFS,18,10,1,5.0,19.0,Small,16,55.126,16,19,0
FCFS,18,10,2,6.0,20.0,Small,16,76.005,16,19,0
FCFS,18,10,3,7.0,18.0,Sedan,24,20.559,9.0,4,0
FCFS,18,10,4,7.0,20.0,Sedan,24,59.725,24,19,0
FCFS,18,10,5,7.0,17.0,Small,16,65.722,16,4,0
FCFS,18,10,6,8.0,19.0,Sedan,24,26.067,11.0,19,0
FCFS,18,10,7,8.0,19.0,Sedan,24,29.811,13.0,19,0
FCFS,18,10,8,8.0,21.0,Small,16,29.491,11.0,19,0
FCFS,18,10,9,12.0,20.0,Sedan,24,47.223,20.0,4,0
FCFS,18,10,10,12.0,18.0,Truck,70,49.768,41.0,19,0
FCFS,19,10,1,6.0,20.0,Truck,70,41.928,34.0,19,0
FCFS,19,10,2,6.0,18.0,Sedan,24,65.416,24,4,0
FCFS,19,10,3,6.0,18.0,Small,16,54.392,16,19,0
FCFS,19,10,4,7.0,17.0,Sedan,24,41.955,18.0,19,0
FCFS,19,10,5,7.0,16.0,Small,16,61.665,16,19,0
FCFS,19,10,6,8.0,17.0,Small,16,13.659,5.0,19,0
FCFS,19,10,7,10.0,19.0,Small,16,59.362,16,4,0
FCFS,19,10,8,11.0,22.0,Sedan,24,13.772,6.0,19,0
FCFS,19,10,9,11.0,20.0,Small,16,10.556,4.0,19,0
FCFS,19,10,10,13.0,19.0,Truck,70,35.588,29.0,19,0
FCFS,20,10,1,5.0,20.0,Truck,70,28.141,23.0,8,0
FCFS,20,10,2,6.0,18.0,Small,16,28.384,11.0,8,0
FCFS,20,10,3,7.0,20.0,Sedan,24,51.849,22.0,8,0
FCFS,20,10,4,7.0,19.0,Small,16,27.661,10.0,8,0
FCFS,20,10,5,8.0,19.0,Truck,70,35.808,29.0,8,0
FCFS,20,10,6,9.0,18.0,Sedan,24,43.43,19.0,8,0
FCFS,20,10,7,9.0,20.0,Small,16,29.405,11.0,8,0
FCFS,20,10,8,10.0,18.0,Small,16,44.19,16,8,0
FCFS,20,10,9,11.0,19.0,SUV,54,21.026,12.0,8,0
FCFS,20,10,10,11.0,19.0,Small,16,30.637,12.0,8,0
FCFS,21,10,1,5.0,17.0,Small,16,28.585,11.0,4,0
FCFS,21,10,2,6.0,22.0,Small,16,46.399,16,19,0
FCFS,21,10,3,8.0,18.0,Sedan,24,36.534,16.0,19,0
FCFS,21,10,4,8.0,20.0,Small,16,43.255,16,4,0
FCFS,21,10,5,9.0,18.0,Sedan,24,51.747,22.0,19,0
FCFS,21,10,6,10.0,17.0,Sedan,24,31.774,14.0,19,0
FCFS,21,10,7,11.0,22.0,SUV,54,49.504,28.0,4,0
FCFS,21,10,8,11.0,17.0,Sedan,24,43.636,19.0,19,0
FCFS,21,10,9,11.0,17.0,Small,16,25.775,10.0,19,0
FCFS,21,10,10,11.0,19.0,Small,16,51.149,16,19,0
FCFS,22,10,1,4.0,21.0,Small,16,50.96,16,8,0
FCFS,22,10,2,5.0,18.0,SUV,54,42.139,24.0,8,0
FCFS,22,10,3,6.0,21.0,Sedan,24,56.098,24,4,0
FCFS,22,10,4,8.0,23.0,Small,16,49.613,16,8,0
FCFS,22,10,5,9.0,19.0,Sedan,24,49.249,21.0,8,0
FCFS,22,10,6,9.0,21.0,Small,16,55.867,16,4,0
FCFS,22,10,7,10.0,19.0,Sedan,24,14.581,6.0,8,0
FCFS,22,10,8,11.0,20.0,SUV,54,6.558,4.0,8,0
FCFS,22,10,9,11.0,20.0,SUV,54,50.239,29.0,8,0
FCFS,22,10,10,12.0,20.0,Small,16,27.953,11.0,4,0
FCFS,23,10,1,5.0,21.0,SUV,54,21.029,12.0,4,0
FCFS,23,10,2,8.0,18.0,SUV,54,48.582,28.0,19,0
FCFS,23,10,3,8.0,18.0,Sedan,24,38.47,16.0,19,0
FCFS,23,10,4,9.0,20.0,Small,16,21.146,8.0,19,0
FCFS,23,10,5,9.0,19.0,Small,16,28.571,11.0,4,0
FCFS,23,10,6,9.0,17.0,Sedan,24,54.842,24.0,19,0
FCFS,23,10,7,10.0,20.0,Small,16,18.345,7.0,4,0
FCFS,23,10,8,11.0,20.0,SUV,54,45.952,26.0,19,0
FCFS,23,10,9,12.0,23.0,Sedan,24,68.058,24,4,0
FCFS,23,10,10,13.0,19.0,Small,16,35.2,13.0,19,0
FCFS,24,10,1,6.0,19.0,Truck,70,38.986,32.0,19,0
FCFS,24,10,2,7.0,22.0,Small,16,26.495,10.0,4,0
FCFS,24,10,3,8.0,20.0,SUV,54,41.64,24.0,19,0
FCFS,24,10,4,8.0,18.0,Sedan,24,18.112,8.0,4,0
FCFS,24,10,5,8.0,21.0,SUV,54,55.554,32.0,19,0
FCFS,24,10,6,8.0,18.0,Truck,70,60.304,49.0,19,0
FCFS,24,10,7,8.0,18.0,Small,16,52.488,16,4,0
FCFS,24,10,8,10.0,20.0,Sedan,24,9.72,4.0,4,0
FCFS,24,10,9,10.0,24.0,Small,16,45.165,16,4,0
FCFS,24,10,10,11.0,21.0,Truck,70,30.596,25.0,19,0
FCFS,25,10,1,5.0,22.0,Small,16,43.694,16,8,0
FCFS,25,10,2,7.0,17.0,SUV,54,28.333,16.0,19,0
FCFS,25,10,3,7.0,18.0,Small,16,21.249,8.0,19,0
FCFS,25,10,4,9.0,19.0,Sedan,24,24.292,10.0,19,0
FCFS,25,10,5,9.0,21.0,Small,16,67.445,16,8,0
FCFS,25,10,6,9.0,18.0,Small,16,67.205,16,8,0
FCFS,25,10,7,10.0,24.0,Truck,70,24.045,20.0,19,0
FCFS,25,10,8,10.0,20.0,Sedan,24,66.979,24,8,0
FCFS,25,10,9,12.0,17.0,Truck,70,50.004,41.0,19,0
FCFS,25,10,10,13.0,21.0,SUV,54,52.879,30.0,19,0
FCFS,26,10,1,5.0,18.0,Sedan,24,44.348,19.0,8,0
FCFS,26,10,2,7.0,19.0,SUV,54,43.787,25.0,8,0
FCFS,26,10,3,7.0,21.0,Sedan,24,53.094,23.0,8,0
FCFS,26,10,4,8.0,18.0,SUV,54,27.406,16.0,8,0
FCFS,26,10,5,8.0,19.0,Sedan,24,63.744,24,8,0
FCFS,26,10,6,9.0,21.0,Small,16,22.313,8.0,8,0
FCFS,26,10,7,10.0,18.0,Sedan,24,18.303,8.0,8,0
FCFS,26,10,8,10.0,22.0,Sedan,24,72.925,24,8,0
FCFS,26,10,9,10.0,18.0,Sedan,24,55.556,24.0,8,0
FCFS,26,10,10,13.0,21.0,Sedan,24,25.981,11.0,8,0
FCFS,27,10,1,6.0,19.0,SUV,54,48.092,28.0,19,0
FCFS,27,10,2,6.0,21.0,Sedan,24,34.535,15.0,19,0
FCFS,27,10,3,6.0,22.0,Small,16,71.957,16,19,0
FCFS,27,10,4,9.0,20.0,Small,16,52.609,16,8,0
FCFS,27,10,5,10.0,16.0,SUV,54,45.519,26.0,19,0
FCFS,27,10,6,10.0,17.0,Sedan,24,49.755,21.0,8,0
FCFS,27,10,7,11.0,18.0,Truck,70,32.635,27.0,19,0
FCFS,27,10,8,12.0,22.0,Sedan,24,49.376,21.0,8,0
FCFS,27,10,9,12.0,17.0,Sedan,24,52.915,23.0,19,0
FCFS,27,10,10,14.0,19.0,Small,16,55.604,16,19,0
FCFS,28,10,1,5.0,18.0,Small,16,19.424,7.0,4,0
FCFS,28,10,2,6.0,20.0,Sedan,24,40.583,17.0,4,0
FCFS,28,10,3,9.0,19.0,Sedan,24,36.501,16.0,8,0
FCFS,28,10,4,9.0,20.0,Sedan,24,50.515,22.0,19,0
FCFS,28,10,5,10.0,19.0,SUV,54,34.719,20.0,8,0
FCFS,28,10,6,10.0,19.0,Truck,70,64.799,53.0,19,0
FCFS,28,10,7,11.0,21.0,SUV,54,57.418,33.0,8,0
FCFS,28,10,8,11.0,17.0,SUV,54,68.272,39.0,19,0
FCFS,28,10,9,11.0,20.0,Small,16,49.749,16,19,0
FCFS,28,10,10,12.0,21.0,Sedan,24,37.043,16.0,8,0
FCFS,29,10,1,7.0,21.0,Sedan,24,42.773,18.0,19,0
FCFS,29,10,2,7.0,20.0,Small,16,24.218,9.0,19,0
FCFS,29,10,3,8.0,21.0,Sedan,24,44.01,19.0,8,0
FCFS,29,10,4,9.0,20.0,Sedan,24,37.392,16.0,19,0
FCFS,29,10,5,10.0,20.0,SUV,54,35.935,21.0,19,0
FCFS,29,10,6,10.0,20.0,Small,16,22.829,9.0,8,0
FCFS,29,10,7,10.0,17.0,Sedan,24,51.19,22.0,19,0
FCFS,29,10,8,10.0,19.0,Small,16,40.567,15.0,8,0
FCFS,29,10,9,11.0,20.0,Sedan,24,63.633,24,8,0
FCFS,29,10,10,11.0,18.0,Small,16,58.39,16,19,0
FCFS,30,10,1,7.0,16.0,SUV,54,51.106,29.0,19,0
FCFS,30,10,2,7.0,17.0,Small,16,55.823,16,4,0
FCFS,30,10,3,8.0,20.0,SUV,54,34.653,20.0,19,0
FCFS,30,10,4,9.0,19.0,SUV,54,53.49,31.0,4,0
FCFS,30,10,5,9.0,21.0,Sedan,24,41.616,18.0,19,0
FCFS,30,10,6,9.0,20.0,Sedan,24,45.561,20.0,4,0
FCFS,30,10,7,9.0,18.0,Sedan,24,39.284,17.0,19,0
FCFS,30,10,8,10.0,18.0,Truck,70,18.141,15.0,19,0
FCFS,30,10,9,10.0,17.0,SUV,54,54.358,31.0,19,0
FCFS,30,10,10,11.0,18.0,SUV,54,62.871,36.0,19,0
FCFS,31,10,1,6.0,21.0,SUV,54,31.362,18.0,4,0
FCFS,31,10,2,7.0,19.0,Sedan,24,32.976,14.0,4,0
FCFS,31,10,3,7.0,21.0,Small,16,42.409,16,8,0
FCFS,31,10,4,8.0,20.0,Small,16,10.688,4.0,8,0
FCFS,31,10,5,8.0,18.0,Sedan,24,71.965,24,8,0
FCFS,31,10,6,9.0,19.0,Truck,70,31.58,26.0,4,0
FCFS,31,10,7,9.0,19.0,Small,16,39.956,15.0,4,0
FCFS,31,10,8,10.0,20.0,Small,16,28.958,11.0,8,0
FCFS,31,10,9,10.0,19.0,Small,16,37.427,14.0,4,0
FCFS,31,10,10,10.0,18.0,Small,16,35.139,13.0,8,0
FCFS,32,10,1,6.0,18.0,Sedan,24,66.297,24,19,0
FCFS,32,10,2,7.0,20.0,SUV,54,37.013,21.0,8,0
FCFS,32,10,3,7.0,18.0,Sedan,24,47.995,21.0,19,0
FCFS,32,10,4,8.0,20.0,Sedan,24,15.817,7.0,19,0
FCFS,32,10,5,8.0,18.0,Sedan,24,58.043,24,8,0
FCFS,32,10,6,9.0,21.0,Sedan,24,35.872,15.0,19,0
FCFS,32,10,7,10.0,19.0,SUV,54,44.093,25.0,8,0
FCFS,32,10,8,11.0,18.0,Sedan,24,42.248,18.0,19,0
FCFS,32,10,9,12.0,20.0,Sedan,24,38.696,17.0,19,0
FCFS,32,10,10,13.0,17.0,Sedan,24,47.439,20.0,19,0
FCFS,33,10,1,6.0,21.0,Small,16,79.52,16,8,0
FCFS,33,10,2,8.0,23.0,Sedan,24,66.397,24,19,0
FCFS,33,10,3,8.0,18.0,Small,16,27.272,10.0,8,0
FCFS,33,10,4,8.0,21.0,Small,16,39.153,15.0,19,0
FCFS,33,10,5,8.0,19.0,Small,16,72.539,16,8,0
FCFS,33,10,6,9.0,19.0,SUV,54,11.567,7.0,8,0
FCFS,33,10,7,10.0,21.0,Truck,70,36.6,30.0,19,0
FCFS,33,10,8,10.0,18.0,SUV,54,40.711,23.0,8,0
FCFS,33,10,9,10.0,17.0,Sedan,24,31.16,13.0,19,0
FCFS,33,10,10,11.0,21.0,SUV,54,21.307,12.0,19,0
FCFS,34,10,1,8.0,17.0,SUV,54,24.168,14.0,19,0
FCFS,34,10,2,8.0,17.0,SUV,54,34.105,20.0,19,0
FCFS,34,10,3,8.0,24.0,Sedan,24,41.21,18.0,19,0
FCFS,34,10,4,8.0,20.0,Truck,70,49.466,40.0,19,0
FCFS,34,10,5,8.0,21.0,Sedan,24,41.408,18.0,19,0
FCFS,34,10,6,8.0,19.0,Sedan,24,51.348,22.0,19,0
FCFS,34,10,7,9.0,18.0,Truck,70,61.209,50.0,19,0
FCFS,34,10,8,9.0,18.0,Small,16,37.942,14.0,19,0
FCFS,34,10,9,9.0,17.0,Small,16,41.104,16.0,19,0
FCFS,34,10,10,11.0,20.0,Small,16,34.071,13.0,19,0
FCFS,35,10,1,6.0,18.0,Small,16,28.499,11.0,8,0
FCFS,35,10,2,7.0,20.0,SUV,54,24.144,14.0,8,0
FCFS,35,10,3,7.0,19.0,Small,16,38.456,15.0,8,0
FCFS,35,10,4,8.0,18.0,Small,16,11.281,4.0,8,0
FCFS,35,10,5,9.0,21.0,Truck,70,16.542,14.0,8,0
FCFS,35,10,6,9.0,21.0,Truck,70,46.093,38.0,8,0
FCFS,35,10,7,10.0,19.0,SUV,54,20.406,12.0,8,0
FCFS,35,10,8,10.0,20.0,Sedan,24,31.292,13.0,8,0
FCFS,35,10,9,10.0,20.0,Small,16,20.073,8.0,8,0
FCFS,35,10,10,11.0,18.0,Small,16,69.426,16,8,0
FCFS,36,10,1,7.0,18.0,Sedan,24,13.633,6.0,8,0
FCFS,36,10,2,7.0,20.0,Sedan,24,53.318,23.0,19,0
FCFS,36,10,3,7.0,18.0,Small,16,25.219,10.0,19,0
FCFS,36,10,4,7.0,22.0,Small,16,39.811,15.0,8,0
FCFS,36,10,5,8.0,22.0,Truck,70,44.668,37.0,19,0
FCFS,36,10,6,9.0,18.0,Small,16,41.294,16.0,8,0
FCFS,36,10,7,9.0,17.0,Small,16,52.374,16,19,0
FCFS,36,10,8,10.0,21.0,Small,16,56.104,16,8,0
FCFS,36,10,9,11.0,18.0,Sedan,24,35.603,15.0,19,0
FCFS,36,10,10,11.0,18.0,Sedan,24,49.186,21.0,19,0
FCFS,37,10,1,6.0,19.0,SUV,54,29.371,17.0,19,0
FCFS,37,10,2,6.0,21.0,Small,16,50.437,16,8,0
FCFS,37,10,3,7.0,23.0,SUV,54,38.186,22.0,8,0
FCFS,37,10,4,7.0,19.0,SUV,54,33.618,19.0,19,0
FCFS,37,10,5,8.0,18.0,SUV,54,69.321,40.0,19,0
FCFS,37,10,6,8.0,21.0,Sedan,24,67.802,24,19,0
FCFS,37,10,7,8.0,23.0,Small,16,68.068,16,8,0
FCFS,37,10,8,8.0,21.0,Small,16,54.127,16,8,0
FCFS,37,10,9,9.0,17.0,Sedan,24,61.085,24,19,0
FCFS,37,10,10,10.0,23.0,Small,16,51.678,16,8,0
FCFS,38,10,1,2.0,20.0,Small,16,29.817,11.0,4,0
FCFS,38,10,2,5.0,20.0,Small,16,61.952,16,8,0
FCFS,38,10,3,6.0,17.0,Small,16,23.402,9.0,4,0
FCFS,38,10,4,6.0,17.0,Small,16,33.529,13.0,8,0
FCFS,38,10,5,7.0,18.0,Small,16,51.713,16,8,0
FCFS,38,10,6,8.0,21.0,Small,16,45.1,16,8,0
FCFS,38,10,7,9.0,21.0,Sedan,24,16.031,7.0,8,0
FCFS,38,10,8,9.0,19.0,Small,16,37.965,14.0,4,0
FCFS,38,10,9,9.0,19.0,Small,16,65.746,16,8,0
FCFS,38,10,10,12.0,20.0,Small,16,40.215,15.0,8,0
FCFS,39,10,1,6.0,23.0,Truck,70,21.561,18.0,8,0
