,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,offer_010,offer_011,offer_012,offer_013,offer_014,offer_015,offer_016,offer_017,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,bids_010,bids_011,bids_012,bids_013,bids_014,bids_015,bids_016,bids_017,Time,Iteration
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145183,0.139141,0.168754,0.148778,0.127933,0.085163,0.117305,0.153957,0.150092,0.11133,0.129095,0.143604,0.122434,0.176099,0.129893,0.159758,0.118422,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118165,0.160384,0.196436,0.146871,0.139888,0.321636,0.129954,0.166378,0.138181,0.131115,0.162309,0.137484,0.148776,0.135829,0.133224,0.154384,0.111684,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189946,0.253915,0.257739,0.293389,0.193377,0.327724,0.217445,0.265775,0.239206,0.220902,0.189685,0.254481,0.203219,0.270656,0.214815,0.270757,0.191495,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527793,0.78295,0.644374,0.607573,0.639905,0.569924,0.444567,0.78615,0.612625,0.762508,0.533593,0.696883,0.713898,0.625809,0.445897,0.729758,0.309178,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428445,0.615999,0.466193,0.690417,0.461894,0.608511,0.274341,0.594495,0.523312,0.581853,0.593957,0.402471,0.436056,0.371765,0.29037,0.380043,0.508721,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413908,0.62051,0.529843,0.523103,0.457472,0.41692,0.100892,0.487472,0.491328,0.512574,0.401774,0.763138,0.489693,0.3838,0.298767,0.311926,0.369106,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331193,0.427912,0.402212,0.402666,0.385361,0.295096,0.962382,0.376596,0.37204,0.415409,0.124546,0.376112,0.308302,0.252534,0.499459,0.276195,0.272724,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266655,0.298261,0.282452,0.304771,0.247335,0.228432,0.267688,0.323637,0.256436,0.295541,0.143275,0.197666,0.265304,0.202519,0.187161,0.192334,0.267714,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119676,0.117529,0.160656,0.126133,0.154844,0.104696,0.111718,0.185373,0.13417,0.121968,0.207385,0.21075,0.10904,0.151104,0.191178,0.152643,0.100685,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103369,0.107764,0.112172,0.187587,0.119504,0.104606,0.094854,0.136111,0.106248,0.110836,0.091692,0.116286,0.124303,0.087108,0.093626,0.090639,0.209768,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186,0.080423,0.082387,0.074625,0.080025,0.085566,0.075173,0.090958,0.134301,0.094588,0.328772,0.080661,0.067369,0.314535,0.078646,0.080351,0.073726,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118421,0.090207,0.084701,0.078527,0.081223,0.126759,0.123822,0.075434,0.076884,0.096458,0.095064,0.183444,0.080776,0.080526,0.220794,0.08003,0.076503,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078455,0.087844,0.081784,0.075608,0.082233,0.077632,0.075982,0.072129,0.081087,0.080983,0.180158,0.07494,0.086102,0.66505,0.653572,0.870876,0.079508,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079279,0.07899,0.080519,0.073949,0.07513,0.071446,0.073682,0.074685,0.072496,0.076096,0.080825,0.072389,0.072011,0.074406,0.074542,0.078688,0.075707,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087267,0.136639,0.085162,0.086247,0.124198,0.0951,0.087661,0.087,0.084579,0.08583,0.12982,0.144154,0.090259,0.084226,0.163454,0.118628,0.102863,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309213,0.269417,0.269191,0.327422,0.150469,0.170078,0.14305,0.271683,0.297405,0.191277,0.214239,0.274716,0.158738,0.145562,0.154862,0.211758,0.150392,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304889,0.321862,0.453179,0.443275,0.199214,0.241184,0.497149,0.404,0.435935,0.189216,0.360159,0.405086,0.489758,0.193998,0.199568,0.24726,0.189596,18,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377913,0.554047,0.387502,0.438134,0.213519,0.242016,0.39184,0.409649,0.406434,0.482423,0.332845,0.425609,0.402766,0.798409,0.235956,0.538706,0.475711,19,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430301,0.464174,0.468747,0.360795,0.491643,0.293916,0.416943,0.459909,0.416145,0.262705,0.496619,0.44215,0.388026,0.22989,0.811762,0.357032,0.409955,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333868,0.272513,0.315386,0.305216,0.486904,0.673407,0.300199,0.263442,0.301981,0.83913,0.23552,0.26189,0.279667,0.501731,0.241452,0.40223,0.36178,21,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25762,0.361981,0.345444,0.404,0.502609,0.332959,0.231084,0.366506,0.360243,0.234415,0.321523,0.351796,0.313219,0.212023,0.387636,0.319448,0.272899,22,1
